LLT_Code,PT_Code
10000727,10013916
10000728,10001029
10000729,10049001
10000730,10014801
10000731,10031064
10000732,10015030
10000733,10015033
10000734,10015030
10000735,10000739
10000736,10000739
10000737,10015246
10000738,10000739
10000739,10000739
10000740,10000739
10000741,10001076
10000742,10033102
10000743,10006451
10000744,10006451
10000745,10000746
10000746,10000746
10000747,10023320
10000748,10000748
10000749,10010741
10000750,10001076
10000751,10019772
10000752,10017865
10000753,10061164
10000754,10017826
10000755,10017835
10000756,10017826
10000757,10017835
10000758,10017835
10000759,10017835
10000760,10017829
10000761,10017826
10000762,10017835
10000763,10017836
10000764,10017835
10000765,10017822
10000766,10017822
10000767,10017840
10000768,10017822
10000769,10017853
10000770,10017866
10000771,10017853
10000772,10002243
10000773,10002244
10000774,10002248
10000775,10002244
10000776,10002248
10000777,10002248
10000778,10002248
10000779,10002244
10000780,10002248
10000781,10002248
10000782,10002248
10000783,10002243
10000784,10002243
10000785,10002250
10000786,10002244
10000787,10018292
10000788,10018366
10000789,10018366
10000790,10018366
10000791,10018378
10000792,10018366
10000793,10018366
10000794,10018366
10000795,10008326
10000796,10014793
10000797,10061181
10000798,10061181
10000799,10039457
10000800,10046483
10000801,10000880
10000802,10066260
10000803,10007556
10000804,10000804
10000805,10019719
10000806,10020141
10000807,10000807
10000808,10000807
10000809,10034484
10000810,10033072
10000811,10000807
10000812,10062491
10000813,10018767
10000814,10059407
10000815,10059407
10000816,10066966
10000817,10046793
10000818,10036182
10000819,10048302
10000820,10009895
10000821,10069339
10000822,10023424
10000823,10023874
10000824,10044302
10000825,10044302
10000826,10061264
10000827,10044302
10000828,10023897
10000829,10044302
10000830,10000830
10000831,10000830
10000832,10060930
10000833,10000830
10000834,10000830
10000835,10000830
10000836,10000830
10000837,10060930
10000838,10000830
10000839,10000830
10000840,10067125
10000841,10025188
10000842,10000846
10000843,10000846
10000844,10000846
10000845,10000846
10000846,10000846
10000847,10000847
10000848,10000846
10000849,10000846
10000850,10000847
10000851,10000846
10000852,10026749
10000853,10037377
10000854,10026883
10000855,10026900
10000856,10026900
10000857,10026900
10000858,10001076
10000859,10000860
10000860,10000860
10000861,10000860
10000862,10013453
10000863,10013453
10000864,10013453
10000865,10013453
10000866,10013453
10000867,10013453
10000868,10013453
10000869,10013453
10000870,10000871
10000871,10000871
10000872,10000872
10000873,10000871
10000874,10000872
10000875,10000871
10000876,10077606
10000877,10033079
10000878,10000880
10000879,10028537
10000880,10000880
10000881,10000881
10000882,10000880
10000883,10000880
10000884,10000880
10000885,10000880
10000886,10000880
10000887,10000881
10000888,10000880
10000889,10000880
10000890,10000890
10000891,10000891
10000892,10000891
10000893,10000891
10000894,10000891
10000895,10000891
10000896,10000891
10000897,10000891
10000898,10000891
10000899,10000891
10000900,10000891
10000901,10000891
10000902,10000891
10000903,10000891
10000904,10000891
10000905,10000891
10000906,10000891
10000907,10000891
10000908,10000891
